Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage,Year
Anaxee Digital Runner,2016.0,Indore,Tech,A tech-enabled ID verification and data collection startup,"Govind Agrawal, Arti Agrawal",Orios Venture Partners,3000000.0,Series A,2020-01-01
Collegekhabri,2019.0,Bhopal,Edtech,Platform is an end-to-end college and career counselling platform for students,Arshi Khan,Vishal Dixit,3000000.0,Seed,2020-01-01
Ola Electric,2016.0,Bangalore,Emobility,Electric vehicle,"Ankit Jain, Anand Shah",Pawan Munjal Family Trust Fund,1000000.0,Series B,2020-01-01
Multi Living,2016.0,Mumbai,Real Estate,"It curates apartments from the homeowners, performs the quality check and offers the homes with built-in services to the potential tenants",Pankaj Singh,Lodha Ventures,6000000.0,Series B,2020-01-01
Fampay,2016.0,Bangalore,Fintech,"It allows parents to send money to their kids below the age of 18, which they can spend securely under parent supervision.",Kush Taneja,"Y Combinator, Venture Highway, Sequoia India, Global Founders Capital",4700000.0,Seed Round,2020-01-01
Unboxrobotics Labs,2016.0,Bangalore,Automation Tech,Automated flexible parcel sorting solutions for logistics providers,Pramod Ghadge,"Arali Ventures, Ciie.Co",500000.0,Seed Round,2020-01-01
Karbon Card,2016.0,Bangalore,Fintech,Specialisde corporate cards for startups,"Pei-Fu Hsieh, Amit Jangir","Kunal Shah, Amrish Rau, Jitendra Gupta",2000000.0,Seed Round,2020-01-01
Airmeet,2016.0,Bangalore,Media & Networking,"A platform to host, discover, and attend fully remote events like conferences and professional meet-ups","Lalit Mangal, Vinay Jaasti, Manoj Singh",Accel India,3000000.0,Series A,2020-01-01
Innerchef,2016.0,Gurgaon,Foodtech,Cloud kitchen platform,Rajesh,Mistletoe,1000000.0,Pre series A,2020-01-01
Epigamia,2015.0,Mumbai,Fmcg,Flavoured and greek yoghurt brand,Rohan Mirchandani,Ka Enterprise,3000000.0,Series C,2020-01-01
Stylenook,2016.0,Mumbai,Ecommerce,Marketplace for fashionable apparel,Lathika Pai,"Lead Angels Network, Stanford Angels",3000000.0,Seed,2020-01-01
Callido Learning,2016.0,Mumbai,Edtech,Provides a structured educational approach to critical thinking and problem solving skills,Sriram Subramanian,Education Catalyst Fund,3000000.0,Series B,2020-01-01
Soxytoes,2016.0,Delhi,Ecommerce,Online store to buy various types of socks including funky and colorful socks,"Vidushi Kajaria, Aayush Goenka",Angel Network,3000000.0,Series B,2020-01-01
F5,2018.0,Delhi,E-Market,Retail Aggregator,"Raghav Arora, Lalit Kumar Aggarwal",Letsventure Investors,3000000.0,Seed Round,2020-01-01
Paper Boat,2013.0,Bangalore,Food & Beverages,Ecommerce platform for beverages and snacks,"Neeraj Kakkar, James Nutall, Suhas Misra, Neeraj Biyani","Advent Management, A91 Emerging Fund, Trifecta Venture",4049500.0,Series B,2020-01-01
Strata,2019.0,Bangalore,Proptech,Real estate investment platform,"Sudarshan Lodha, Priyanka Rathore","Saif Partners, Mayfield India",1500000.0,Seed Round,2020-01-01
Salesken,2016.0,Bangalore,Ai & Data Science,Provides sales professionals with intelligence on various aspects of the sales pitch,"Sreeraman Vaidyanathan, Surga Thilakan",Sequoia India,8000000.0,Series A,2020-01-01
Arya,2016.0,Noida,Agritech,Provides post-harvest services across the agricultural value chain,Prasanna Rao,Lgt Lightstone Aspada,6000000.0,Series B,2020-01-01
Leap Finance,2016.0,Bangalore,Fintech,Provides education loans to students based on the student’s future income,"Vaibhav Singh, Arnav Kumar",Sequoia India,5500000.0,Series A,2020-01-01
Sleepy Owl,2016.0,Delhi,Beverages,"It sells ready to drink cold brew coffees, brew boxes and packs.","Ajai Thandi, Arman Sood, Ashwajeet Singh",Rukam Capital,3000000.0,Series C,2020-01-01
Tricog,2015.0,Bangalore,Healthtech,Provides virtual cardiology services through its AI-powered healthcare platforms,"Charit Bhograj, Zainul Charbiwala, Udayan Dasgupta, Abhinav Gujjar","Utec-The University Of Tokyo Edge Capital, Aflac Ventures, Llc, Dream Incubator, Teamfund",10500000.0,Series B,2020-01-01
Gogobus,2016.0,Delhi,Travel Tech,Inter-City Mobility Startup,Amit Gupta,Ixigo,3000000.0,Seed Round,2020-01-01
Trell,2016.0,Bangalore,Social E-Commerce,Allows users to share their travel experiences,"Pulkit Agrawal, Prashant Sachan, Arun Lodhi, Bimal Kartheek Rebba, Nirav Sheth","Sequoia’S Surge, Fosun Rz",4000000.0,Pre series A,2020-01-01
Spaciya Consultants,2016.0,Noida,Real Estate,Real estate consultancy firms,Ajit Panda,Alok Garg,500000.0,Pre series A,2020-01-01
Bounce,2014.0,Bangalore,Automotive And Rentals,Offers a variety of bikes and scooters that can be rented on a subscription basis,"Vivekananda Hallekere, Anil Giri Raju, Arun Agni",Innoven Capital,6500000.0,Seed Round,2020-01-01
Neeman,2017.0,Indore,Ecommerce,An eco-conscious footwear brand making comfortable shoes using Merino Wool,"Taran Chhabra, Amar Preet Singh",Anicut Angel Fund,1000000.0,Pre series A,2020-01-01
Chqbook,2017.0,Gurugram,Fintech,"Marketplace for small business owners, offering them products around lending, credit cards etc","Vipul Sharma, Rajat Kumar, Sachin Arora, Mohit Goel",Aavishkaar Capital,5000000.0,Series A,2020-01-01
Smecorner,2014.0,Mumbai,Fintech,Financial lending firm to SMEs,"Bhatia, Sneha Shah",Paragon Partners,30000000.0,Series B,2020-01-01
Oda Class,2016.0,Bangalore,Edtech,"It offers content and material via video, adopting a dual-teacher model with IIT and NIT alumni","Li Yong, Shushant Srivastava",Yuanfudao,3000000.0,Pre series A,2020-01-01
Spinny,2015.0,Haryana,E-Tail,Used car retailing platform,"Niraj Singh, Mohit Gupta, Ramanshu Mahuar","Nandan Nilekani, Sanjeev Aggarwal",43700000.0,Series B,2020-01-01
Gostops,2012.0,Delhi,Accomodation,A premium chain of youth hostels catering to the millennials,"Pallavi Agarwal, Pankaj Parwanda",Atraxn Partners.,3000000.0,Pre series A,2020-01-01
Umeed Housing,2016.0,Haryana,Fintech,Housing finance company,Ashutosh Sharma,Morgan Stanley Private Equity Asia,23000000.0,Series D,2020-01-01
Vogo,2016.0,Bangalore,Automotive,A scooter-sharing platform allowing users to rent a two-wheeler from specific designated pick up points,"Anand Ayyadurai, Padmanabhan Balakrishnan, Sanchit Mittal",Lightstone Aspada,20000000.0,Series C,2020-01-01
Flick Stree,2016.0,Mumbai,Ai & Media,Artificial intelligence-based video publishing network,Saurabh Singh,Samsung Venture Investment,3000000.0,Series A,2020-01-01
Qure Ai,2016.0,Mumbai,Healthtech,Provides interpretations of radiology scans,"Prashant Warier, Pooja Rao",Sequoia India,16000000.0,Series B,2020-01-01
Minionlabs,2016.0,Bangalore,Machine Learning,It leverages a Machine Learning-based approach to generate a comprehensive report on predictive analytics,Gokul Shrinivas,Indian Angel Network,3000000.0,Seed Round,2020-01-01
Josh Talks,2015.0,Haryana,Media,Community of young individuals providing a platform to showcase their stories,"Supriya Paul, Shobhit Banga",Media Development Investment Fund,1500000.0,Pre series A,2020-01-01
Phoneparloan,2015.0,Delhi,Fintech,Provides easy loans,Ringaile Noq,Accelerator Mox,3000000.0,Seed Round,2020-01-01
Railyatri,2011.0,Noida,Travel,A complete Indian railways app,"Manish Rathi, Kapil Raizada, Sachin Saxena","Nandan Nilekani, Samsung Venture Investment Corporation",13800000.0,Pre series A,2020-01-01
Ajnalens,2014.0,Thane,Deeptech,"It leverages technologies such as AR, VR & AI to offer hardware in areas such as education and defence","Pankaj Raut, Abhishek Tomar, Abhijit Patil","Maharashtra Defence, Aerospace Venture Fund (Mdavf)",1500000.0,Pre series A,2020-01-01
Pepper,2017.0,Mumbai,Content Marktplace,End to end content creation platform,Anirudh Singla And Rishabh Shekhar,"Kunal Bahl, Rohit Bansal",306900.0,Seed funding,2020-01-01
Rupeek,2015.0,Bangalore,Fintech,An asset backed online lending platform,"Amar Prabhu, Ashwin Soni, Sumit Maniyar","Ggv Capital, Bertelsmann India Investments, Binny Bansal, Sequoia India, Accel Partners",30000000.0,Seed Round,2020-01-01
Imerit,2012.0,Kolkata,It,Turns information into data that is usable for machine learning processes,Radha Basu,Cdc Group Plc,20000000.0,Series B,2020-01-01
Bharatpe,2018.0,Delhi,Fintech,Digital payments platform,Ashneer Grover,Ribbit Capital,75000000.0,Series C,2020-01-01
Invideo,2016.0,Gujarat,Visual Media,Video production and editing platform,Sanket Shah,Sequoia Capital’S Surge,2500000.0,Pre series A,2020-01-01
Avalonmeta,2017.0,Pune,Edtech,It combines higher education and competitive gaming,"Varun Mayya, Shashank Udupa, Abhinav Arora",Peerplays,420000.0,Seed,2020-01-01
Near Store,2016.0,Mumbai,Ecommerce,Enables a shop to create an online presence,Byju Raveendran,Sauce.Vc,300000.0,Seed Round,2020-01-01
Electorq,2016.0,Delhi,Automobile,Electric vehicle startup,Anubhav Sharma,Advantedge,3000000.0,Series C,2020-01-01
Prayaan Capital,2016.0,Chennai,Fintech,"NBFC that lends to micro, small, and medium-sized enterprises (MSMEs)","Madhan Mohan , Akash Chelvam",Accion Venture Lab,1200000.0,Seed Round,2020-01-01
Sanfe,2016.0,Delhi,Hygiene,Women health care and wellness product,"Archit Agarwal, Harry Sehrawat","Sucseed Venture Partners, Birac, Elixir Pharma, Titan Capital",1100000.0,Pre series A,2020-01-01
Go Desi,2018.0,Delhi,Foodtech,Provides traditional delicacies,Vinay Kothari,Rukam Capital,627300.0,Seed Round,2020-01-01
Swiggy,2014.0,Bangalore,Foodtech,Platform to order food online from restaurants and getting it delievered,"Nandan Reddy, Sriharsha Majety, Rahul Jaimini",Prosus N.V,113000000.0,Series A,2020-01-01
Whatfix,2014.0,Banglore,Saas,"Digital adoption platform that helps companies provide intuitive onboarding, training and support","Khadim Batti, Vara Kumar",Sequoia Capital India,32000000.0,Series C,2020-01-01
Unacademy,2010.0,Bangalore,Edtech,Platform that offers online education in India,"Gaurav Munjal, Roman Saini, Hemesh Singh","Facebook, General Atlantic, Sequoia India, Nexus Venture Partners, Steadview Capital, Blume Ventures",110000000.0,Series E,2020-01-01
Zvesta,2015.0,Gurugram,Proptech,An online platform where users can search and buy properties listed by developers and brokers,"Rajan Dang, Anushree Srivastava",Hindustan Media Ventures,5500000.0,Pre series A,2020-01-01
Dunzo,2014.0,Bangalore,Logistics,India-based hyperlocal delivery startup,Kabeer Biswas,Alteria Capital,11000000.0,Seed,2020-01-01
Digit Insurance,2016.0,Bangalore,Insurtech,General Insurance Company,Kamesh Goyal,"Virat Kohli, Anushka Sharma",340000.0,Series A,2020-01-01
Yolo,2019.0,Gurugram,Transport,Intercity transportation,"Shailesh Gupta, Mukul Shah, Danish Chopra",Undisclosed,600000.0,Seed funding,2020-01-01
Smartvizx,2015.0,Indore,Vr & Saas,It developed India’s first VR-based design communication and collaboration product Trezi,"Tithi Tewari, Gautam Tewari",Rockstud Capital,1397000.0,Pre series A,2020-01-01
Maxwholesale,2016.0,Delhi,Ecommerce,B2B ecommerce platform for kirana stores,Samarth Agrawal,"Ian Fund-I,  Al Falaj Investment Company (Afi)",3000000.0,Series A,2020-01-01
Carbon Clean,2009.0,Bangalore,Cleantech,Develops affordable carbon capture technology,"Aniruddha Sharma, Prateek Bumb","Wave Equity Partners, Chevron Technology Ventures, Marubeni Corporation.",16000000.0,Seed Round,2020-01-01
Onsitego,2016.0,Noida,Sales & Services,It offers post-purchase services through a network of brand authorised service centres throughout the country,Mahipal,Zodius Growth Fund,19000000.0,Series B,2020-01-01
Genius Corner,2014.0,Noida,Edtech,Framework to enable personalised learning using artificial intelligence (AI) and machine learning (ML).,"Vishal Khatter, Dheeraj Khatter, Dipak Varshney","Mahesh Mohta, Jyoti Arora, Nachu Subramanian, Srivats",250000.0,Series A,2020-01-01
Planetspark,2016.0,Gurugram,Edtech,Provides neighbourhood learning zones where children learn and develop 'new-age' skills under one roof,"Maneesh Dhooper, Kunal Malik","Indian Angel Network, Lead Angels, Hyderabad Angels",448500.0,Pre series A,2020-01-01
Camcom,2017.0,Bangalore,Ai & Deep Learning,AI automation platform for enterprise quality control,"Ajith Nayar, Umesh, Mahesh Subramanian","Triton Investment Advisors,",3000000.0,Seed Round,2020-01-01
Simsim,2016.0,Bangalore,Social Commerce,It enables community opinion influencers to sell products to thousands of micro-communities in India,Amit Bagaria,"Accel Partners, Shunwei Capital, Good Capital",8000000.0,Series B,2020-01-01
Shuttl,2015.0,Delhi,Transport,App based bus aggregator serice,"Amit Singh, Deepanshu Malviya",Sig Global India Fund,7975700.0,Series C,2020-01-01
Hooliv,2016.0,Delhi,Housing & Rentals,Student Co-living startup,"Chinmoy Mishra, Gaurav Vij, And Abhishek Verma",Kolte-Patil Family Office,3000000.0,Series B,2020-01-01
Classmonitor,2016.0,Indore,Edtech,The learning platform that blends curriculum-based activities for children,"Vijeet Pandey, Vikas Rishishwar",Ashwin Khorana,3000000.0,Seed Round,2020-01-01
Friyey,2016.0,Pune,Co-Working,Co working space startup,Yogesh Thore,Tarun Bhalla,3000000.0,Pre series A,2020-01-01
Oga,2016.0,Bangalore,Fitness,Provides interactive fitness experience to people across the world,Ashish Rawat,Inflection Point Ventures,330000.0,Series B,2020-01-01
Big Basket,2016.0,Bangalore,Estore,Online grocery store,"Abhinay Choudhari, Hari Menon, Vipul Parekh, Vs Sudhakar",Trifecta Capital,3500000.0,Pre series A,2020-01-01
Cyfirma,2016.0,Bangalore,Saas,Offer cybersecurity services,Ritesh Kumar,Z3 Partners,3000000.0,Series A,2020-01-01
Innoviti,2016.0,Bangalore,Automobile,Digital payments solutions company,Rajeev Agrawal,Fmo,5000000.0,Series A,2020-01-01
Paytm Money,2010.0,Bangalore,Fintech,Wealth Management,Vijay Shekhar Sharma,One97 Communications,5600000.0,Seed,2020-01-01
Vedantu,2016.0,Bangalore,Edtech,Onine learning platform,"Saurabh Saxena, Pulkit Jain, Anand Prakash, Vamsi Krishna",Ggv Capital,24000000.0,Series C,2020-01-01
Yap,2016.0,Chennai,Fintech,Banking and payment products-focused API platform,"Madhusudanan R, Muthukumar And Prabhu","Amrish Rau, Kunal Shah, Jitendra Gupta",1402000.0,Pre series A,2020-01-01
Clover,2016.0,Bangalore,Agritech,Provides agricultural solution to farmers working in the greenhouse production of vegetables and fruits,"Avinash Br, Gururaj Rao, Arvind Murali, Santhosh Narasipura","Omnivore, Accel Partners, Mayfield",5500000.0,Series A,2020-01-01
Nova Credit,2016.0,Chennai,Fintech,Cross-border consumer credit startup,Nicky Goulimis,"Kleiner Perkins, Canapi Ventures, Index Ventures, Nyca Partners, General Catalyst.",50000000.0,Series B,2020-01-01
Codingninjas,2016.0,Delhi,Edtech,Online learning platform,"Singla, Kannu Mittal, Dhawal Parate",Info Edge Ltd,5200000.0,Series A,2020-01-01
Furlenco,2011.0,Bangalore,Ecommerce,Furniture rental startup,Ajith Mohan Karimpana,Chowdry Associates,2200000.0,Series C,2020-01-01
Brick&Bolt,2018.0,Bangalore,Food,Operates in the residential construction space,"Jayesh Rajpurohit, Arpit Rajpurohit",Surge,1500000.0,Pre series A,2020-01-01
Hempstreet,2019.0,Gujarat,Healthtech,Manufacturer of ayurvedic medicines based on cannabis,Abhishek Mohan,Pharmacon Holdings,1000000.0,Pre series A,2020-01-01
Moengage,2016.0,Bangalore,Marketing,Customer analytics and cross-channel engagement platform,"Raviteja Dodda, Yashwanth Kumar",Eight Roads Ventures,25000000.0,Series C,2020-01-01
Classplus,2018.0,Haryana,Edtech,It allows coaching centres to take their brick-and-mortar setup online,"Rustagi, Bhaswat Agarwal","Blume Ventures, Sequoia",2500000.0,Pre series A,2020-01-01
Chaayos,2012.0,Noida,Beverages,Provides customised range of tea,"Nitin Saluja, Raghav Verma",Think Investment,21500000.0,Pre series A,2020-01-01
Petpooja,2011.0,Ahmedabad,Saas,Restaurant management software provider,Apurv Patel,Udaan,2000000.0,Seed,2020-01-01
Altor,2016.0,Gujarat,Tech,Makes helmets that are IoT and AI enabled,"Shamik Guha, Sayan Tapadar, Muhammad Bilal Shakil, Anirban Datta Gupta",Venture Catalysts,3000000.0,Series A,2020-01-01
Pepperfry,2013.0,Mumbai,E-Market,Online home furniture marketplace,"Ambareesh Murty, Ashish Shah",Pidilite Industries,40000000.0,Series F,2020-01-01
Firstcry,2010.0,Pune,E-Market,Baby products marketplace,"Supam Maheshwari, Amitava Saha",Softbank’S Vision Fund,296000000.0,Series E,2020-01-01
Byju,2011.0,New Delhi,Edtech,Provides online learning classes,Byju Raveendran,General Atlantic,200000000.0,Seed Round,2020-01-01
Waycool,2015.0,Chennai,Agritech,Food development and distribution services,Karthick Jayraman And Sanjay Dasari,Lightbox Ventures,32000000.0,Series C,2020-01-01
Workindia,2016.0,Ahmedabad,Hr Tech,An online and mobile-based platform that connects companies with blue collar employees.,Kunal Patil,Xiaomi,6000000.0,Seed Round,2020-01-01
Qyuki,2016.0,Mumbai,Media,Multi-channel broadcast network,"Ar Rahman, Shekhar Kapur",Info Edge Venture Fund,3500000.0,Seed,2020-01-01
Leap India,2016.0,Coimbatore,Agritech,Agricultural warehousing and logistics company,Narain Karthikeyan.,Neev Fund,30000000.0,Series B,2020-01-01
Picxy,2016.0,Hyderabad,Media,Stock photo industry,Jitendra Emmani,"Firstcheque, Angellist India, Aakrit Vaish, Ranjith Radhakrishnan",250000.0,Series A,2020-01-01
Krimanshi,2016.0,Jodhpur,Agritech,Sustainable system to feed animals by valorizing food residues and surplus into highly nutritious feeds,Nikhil Bohra,Arunachal Pradesh Social Entrepreneurship Meet,20000.0,Pre series A,2020-01-01
Neetprep,2016.0,Delhi,Edtech,Provides crash course for NEET preparation,Kapil Gupta,Indiaquotient,3000000.0,Series A,2020-01-01
Dot Pvt. Ltd,2016.0,Gurugram,Fintech,It provides digital transformation and commerce solutions to brick and mortar outlets,Shailaz Nag,"Payu, Fosun Rz Capital",8000000.0,Seed Round,2020-01-01
Kuku Fm,2016.0,Mumbai,Media,A podcast platform,"Lal Chand Bisu, Vikas Goyal, Vinod Kumar Meena",Vertex Ventures,5500000.0,Series A,2020-01-01
Supermoney,2018.0,Mumbai,Fintech,Provides financial tools for effective business making,Nikhil Banerjee,Unitus Ventures.,1000000.0,Pre series A,2020-01-01
Rebel Foods,2016.0,Gurgaon,Food Tech,It runs internet kitchen,"Jaydeep Barman, Kallol Bannerjee",Alteria Capital,4900000.0,Series C,2020-01-01
Alphavector,2015.0,Bangalore,E Tailor,It sells modern age bicycles named FROG,Sachin Chopra,"Avaana Capital, Titan Capital",3000000.0,Pre series A,2020-01-01
Fox Capital,2019.0,Jaipur,Fintech,Digital lending startup,Rakesh Sharma,Institutional Investors,2500000.0,Seed,2020-01-01
Tribe Theory,2016.0,Bangalore,Accomodation,An entrepreneur-focused hostel chain present in multiple locations across the world.,Katie Russel And Daniel Wiegand,Tim Draper,3500000.0,Pre series A,2020-01-01
Fleetx,2016.0,Noida,Saas,Fleet management and predictive analytics platform,"Vineet Sharma, Abhay Jeet Gupta, Udbhav Rai, Parveen Kataria, Vishal Misra",Beenext,1402400.0,Series A,2020-01-01
Embibe,2016.0,Mumbai,Edtech,It provides AI-based data analytics to personalise learning outcomes,Aditi Avasthi,Reliance Industries Limited (Ril),12618300.0,Seed,2020-01-01
Entri,2017.0,Kochi,Edtech,It is a app that provides different types of learning content in local languages,"Mohammed Hisamuddin, Rahul Ramesh",Good Capital,1400000.0,Seed Round,2020-01-01
Oye! Rickshaw,2016.0,Gurgaon,E-Mobility,App-based electric rickshaw hailing service,Akash Deep,Chiratae Ventures,10000000.0,Series A,2020-01-01
Seal Professional,2012.0,Bangalore,Edtech,Trains students in managemnt and leadership skills and also helps in placement,Saurabh Saxena,Equanimity Ventures,3000000.0,Pre series A,2020-01-01
Sprinng Foods,2016.0,Mumbai,Food,Provides Gluten-free food,Tarun Khanna,"Mistletoe, Info Edge Asia",3000000.0,Series C,2020-01-01
