Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage,Year
Plop,2016.0,Mumbai,Tech,It Provides an interactive fiction entertainment platform to entertain & educate Gen Z & Millennials in a language they understand,"Vineet Shetty, Anushka Shetty","Better Capital, Letsventure, Rohit Chanana, Jayant Kadambi, Sunil Kumar Singhvi",3000000.0,Angel Round,2020-01-01
Zupee,2018.0,Pune,Gaming,It runs live quiz tournaments on its app.,"Malhi, Siddhant Saurabh",Matrix Partners,8000000.0,Series A,2020-01-01
Dehaat,2012.0,Delhi,Agritech,Online marketplace for farming services and products,Shashank Kumar,Sequoia Capital India,12000000.0,Series A,2020-01-01
Lido Learning,2016.0,Mumbai,Edtech,Online teaching service,Sahil Sheth,Bace Capital,7500000.0,Series B,2020-01-01
Aye Finance,2014.0,Gurugram,Fintech,A finance lender to SMEs,"Vikram Jetley, Sanjay Sharma",Undisclosed,23850000.0,Pre series A,2020-01-01
Swiggy,2014.0,Bangalore,Foodtech,Platform to order food online from restaurants and getting it delievered,"Nandan Reddy, Sriharsha Majety, Rahul Jaimini","Tencent, Ark Impact, Korea Investment Partners, Samsung Ventures, Mirae Asset Capital Markets",43000000.0,Series A,2020-01-01
Akna Medical,2018.0,Ahmedabad,Healthtech,Provides supply solutions for surgical and pharmaceutical products.,"Saurabh Pandey, Mahadevan Narayanamoni",Lgt Lightstone Aspada,7000000.0,Seed Round,2020-01-01
Zomato,2016.0,Gurugram,Foodtech,Online food delivery and restaurant discovery platform,Deepinder Goyal,Pacific Horizon,5000000.0,Series A,2020-01-01
Rara Delivery,2016.0,California,Logistics,Provides same day delivery service for ecommerce businesses,Karan Bhardwaj,"Der Shing Lim, 500 Startups",800000.0,Seed Round,2020-01-01
Juspay,2016.0,Bangalore,Fintech,Online payment solutions,Vimal Kumar,Vostok Emerging Finance,21600000.0,Series B,2020-01-01
Obviously Ai,2018.0,Delhi,Data Science,It provides predictive insights to clients by leveraging their data,"Tapojit Debnath, Nirman Dave",Arka Venture Labs,3000000.0,Seed Round,2020-01-01
Fingpay,2016.0,Mumbai,Fintech,Provides payment solutions,"Pratyush Halen, Anuraag Agrawal",Ivycap Ventures,3500000.0,Series A,2020-01-01
Recko,2017.0,Bangalore,Saas,The platform enables AI-powered reconciliation of digital transactions,"Prashant Border, Saurya Prakash Sinha",Vertex Ventures,6000000.0,Series A,2020-01-01
Furlenco,2012.0,Bangalore,Ecommerce,Furniture rental startup,Ajith Mohan Karimpana,"Chowdry Associates, Lightbox",10000000.0,Seed,2020-01-01
Mera Cashier,2019.0,Noida,Fintech,App meant for small and micro businessmen to manage their transactions digitally,"Suneel Kumar, Gaurav Tomar, Sucharita Redd","Sukhbir Singh, India Accelerator, Boudhik Ventures, Shankar Nath, Shaurya Garg",150000.0,Series A,2020-01-01
Kitchens Centre,2019.0,Delhi,Agritech,Offers solutions to cloud kitchens by providing commercial space and kitchen infrastructure to assisting with branding and other services,Lakshay Jain,Angellist India,500000.0,Seed Round,2020-01-01
Camp K12,2016.0,Gurugram,Edtech,It connects students with tutors online,"Anshul Bhagi, Sandeep Bhagi","Matrix Partners, Saif Partners",4000000.0,Seed Round,2020-01-01
Medgenome,2013.0,Bangalore,Healthtech,Genetic diagnostic testing company,Sam Santhosh,Leapfrog Investments,55000000.0,Series D,2020-01-01
Ergos,2016.0,Bangalore,Agritech,It enables farmers to digitise their foodgrain and also provide access to supply chain solutions,"Kishor Jha, Praveen Kumar",Aavishkar Capital,4598000.0,Seed Round,2020-01-01
Nykaa,2012.0,Mumbai,Ecommerce,Deals in cosmetic and wellness products,Falguni Nayar,Steadview Capital,13137000.0,Series C,2020-01-01
Samadhan,2018.0,Delhi,Insurance,They help find solutions to insurance related issues,"Deepak Bhuvneshwari Uniyal, Shilpa Arora, Shailesh Kumar, Sanjay Aggarwal",Venture Catalysts,3000000.0,Seed Round,2020-01-01
Sascan,2016.0,Bangalore,Healthcare,Cancer diagnostics startup,Subhash Narayanan,Unicorn India Ventures,3000000.0,Series A,2020-01-01
Lido Learning,2016.0,Mumbai,Edtech,Online teaching service,Sahil Sheth,"Pecus Capital, Madhur Deora",3000000.0,Series B,2020-01-01
Curefit,2016.0,Bangalore,Health And Fitness,"Integrated platform for food, fitness and meditation.","Mukesh Bansal, Ankit Nagori",Temasek,115000000.0,Series D,2020-01-01
Nimesa,2018.0,Bangalore,Saas,Cloud data managemnt solutions enterprise,"Tapesh Goyal, Rajesh Vaidhyanathan",Ideaspring Capital,3000000.0,Series A,2020-01-01
Design X,2016.0,Noida,Iot,Builds IoT based products,Preet Arjun Singh,Thinknext Llc,200000.0,Seed Round,2020-01-01
Driftly Electric,2016.0,Bangalore,Automobile,Electric vehicle startup,Sneha Roy,Mg Motor India,3000000.0,Series C,2020-01-01
Imstrong,2019.0,Bangalore,Fitness,It is an online and live video-streaming platform that allows trainers and fitness enthusiasts to connect and engage in interactive online classes.,"Dilip Kumar, Selvan Thamarai, Deepti Nair",Rainmatter,400000.0,Seed Round,2020-01-01
Craftsvilla,2016.0,Mumbai,Marketplace,Online marketplace for ethnic wear,Monica Gupta. Manoj Gupta,Supera Investments,3900000.0,Series B,2020-01-01
Rupifi,2020.0,Bangalore,Fintech,Offers financial products for SMEs,"Anubhav Jain, Ankit Singh, Jawaid Iqbal","Ashneer Grover, Kunal Shah, Ramakant Sharma",3000000.0,Pre seed round,2020-01-01
Snackamor,2016.0,Mumbai,Food,It offers various healthy snacks,Deepak Grover,Undisclosed,3000000.0,Seed Round,2020-01-01
